,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,1578537429-10Lep-0-1.fits,1578537457-10Lep-0-1.fits,32.73892311,79.08510226,6.930799052,-4.299999213,1.699998662,0.534001555,0.350000651,0.350000651,0,30.76414611,-11.50859458,-108.7652681,223.7364696,24.27112963,0.796171587,65.06410263,-14.67727743,13.2849512
13,1578537953-10Lep-0-1.fits,1578537981-10Lep-0-1.fits,22.62741833,79.98096439,-5.436220021,-4.299999213,0.699998662,0.534001555,0.350000651,0.350000651,0,121.3862614,-57.64171359,-112.3884849,87.07895369,25.75661956,54.18662285,60.66383855,-14.77159419,9.795064724
14,1578538341-10Lep-0-1.fits,1578538368-10Lep-0-1.fits,14.17750147,80.42925479,2.760481557,-4.299999213,0.199998662,0.534001555,0.350000651,0.350000651,0,212.9831068,13.20168241,-137.884053,5.186331658,21.34920673,26.48537639,66.03480857,0.146726102,-2.868041645
15,1578538650-10Lep-0-1.fits,1578538678-10Lep-0-1.fits,7.018851687,80.63676505,-11.33731803,-4.299999213,0.199998662,0.534001555,0.350000651,0.350000651,0,230.7023202,-70.22345127,-138.8014752,31.67727377,46.49729541,33.18186761,45.40432475,-5.128567468,5.341123458
16,1578538901-10Lep-0-1.fits,1578538929-10Lep-0-1.fits,1.011235891,80.70284457,-5.719808446,-4.299999213,-0.300001338,0.534001555,0.350000651,0.350000651,0,256.0099157,-43.53754107,-86.62034765,-18.20676938,45.11866016,27.34013601,46.76683209,8.693046172,3.306715819
17,1578539137-10Lep-0-1.fits,1578539165-10Lep-0-1.fits,-4.625994442,80.67873811,-0.533547873,-4.299999213,0.199998662,0.534001555,0.350000651,0.350000651,0,233.7333027,-46.86388776,-143.9552039,24.10957293,67.19820256,10.33269291,59.21300317,2.035396937,6.330075352
18,1578539403-10Lep-0-1.fits,1578539431-10Lep-0-1.fits,-10.87323271,80.55277406,5.107228185,-4.299999213,0.199998662,0.485001555,0.350000651,0.350000651,0,54.65923806,39.62835532,-214.4868499,36.6431262,33.12332628,-21.09033144,52.1420626,-4.815427133,1.641350697
19,1578540108-10Lep-0-1.fits,1578540136-10Lep-0-1.fits,-26.19931866,79.74315917,-1.356985217,-4.299999213,0.199998662,0.485001555,0.350000651,0.350000651,0,89.83213424,-22.04880742,-82.4195095,65.11555776,11.36520456,26.18620029,33.35851454,9.039563475,4.281236819
20,1578540468-10Lep-0-1.fits,1578540496-10Lep-0-1.fits,-32.95245369,79.10507222,4.103631811,-4.299999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,-9.10888822,14.65895178,-54.78631849,6.197140052,39.59156545,37.79534886,54.11903093,3.793703543,5.132436844
21,1578540753-10Lep-0-1.fits,1578540781-10Lep-0-1.fits,-37.72847157,78.51603508,7.775379634,-4.249999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,11.30112973,21.56662757,-175.2820641,-0.774762075,28.80429256,2.563887732,83.22839726,4.27778775,-1.608259972
22,1578540963-10Lep-0-1.fits,1578540991-10Lep-0-1.fits,-41.04082415,78.02630237,-7.776769297,-4.349999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,145.4206183,-16.86667218,-170.1737532,30.7731925,-5.113330963,69.8689349,42.53980376,5.300212924,8.630838371
23,1578541220-10Lep-0-1.fits,1578541248-10Lep-0-1.fits,-44.68211273,77.39696164,-5.200854258,-4.349999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,14.45043148,-71.50089741,-120.3429692,-7.345269098,47.22481836,48.27930932,43.47340366,3.234497117,-8.171744105
24,1578541566-nuLep-0-1.fits,1578541594-nuLep-0-1.fits,-38.33803196,68.11557429,-16.94820077,-4.349999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,40.01685739,-148.4487764,16.35399855,14.85989421,-5.97641899,56.64743413,-20.02031314,3.815001105,-1.281821037
25,1578541863-nuLep-0-1.fits,1578541891-nuLep-0-1.fits,-40.96710031,67.43492081,-15.46034671,-4.849999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,-54.89207556,-129.8716792,29.24945907,-21.3200103,-26.35934703,83.38974917,-45.21865458,-2.329331544,-16.0405951
26,1578542143-HIP24493-0-1.fits,1578542171-HIP24493-0-1.fits,-32.94732724,56.90807401,-7.011414011,-4.349999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,-75.64520211,-89.79203936,-21.36547242,26.62577489,28.29116066,19.48499078,-17.75926222,20.25188506,-6.884677618
0,1578542773-HIP25041-0-1.fits,1578542801-HIP25041-0-1.fits,-27.40144044,47.61859831,-11.36134086,-4.349999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,-139.193915,-88.01233874,-13.67263717,27.87059684,16.49179782,-1.346272345,-41.14717977,23.63339563,0.811432626
1,1578543015-HIP23043-0-1.fits,1578543043-HIP23043-0-1.fits,-30.71004185,36.76567418,-7.61457508,-4.349999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,-182.4179191,26.20458795,10.76928191,-8.481236538,51.07782769,-34.41550612,-8.390044807,20.79701399,-4.928047763
2,1578544378-HIP23043-0-1.fits,1578544406-HIP23043-0-1.fits,-36.51394798,34.03344129,-2.57646139,-4.349999213,-1.34E-06,0.465001555,0.350000651,0.350000651,0,-179.3193929,10.06676057,37.91108749,-26.91547785,74.37639855,-37.83228498,18.62996835,10.83276192,-16.62919634
3,1578545134-HIP23043-0-1.fits,1578545162-HIP23043-0-1.fits,-39.51416606,32.35094303,-0.343742918,-4.349999213,-1.34E-06,0.500001555,0.350000651,0.350000651,0,12.61085124,25.73093151,-111.0885673,-47.44692055,85.11918995,1.49045373,-1.25579402,-2.606671252,-4.676150762
