,intra,extra,az,el,rot_pos,x,y,z,u,v,w,m1_pressure,4,5,6,7,8,9,10,11,12,13
31,1579845024-tau02Hya_intra-0-1,1579845068-tau02Hya_extra-0-1,6.708569456,60.95919368,-63.68217367,-5.038108802,0.217910027,0.506409172,0.35,0.35,0,105621.9149,-209.8331821,-31.01781685,6.034220676,-1.014130458,55.64938508,-36.63291999,26.03290269,1.624243561,-1.736658358,1
32,1579845145-tau02Hya_intra-0-1,1579845185-tau02Hya_extra-0-1,5.691431925,61.00641663,-62.75726076,-5.038108802,0.2171604,0.506342595,0.35,0.35,0,106670.0879,-189.4961016,110.9446681,-22.53061559,-9.057624576,38.08092589,-19.36869374,47.20888964,-6.40405205,6.831841197,1
33,1579845322-tau02Hya_intra-0-1,1579845363-tau02Hya_extra-0-1,4.173622187,61.06256163,-61.39070009,-5.038108802,0.216271783,0.506263577,0.35,0.35,0,107739.2115,-185.4564827,100.1385415,30.53508064,-12.27717548,23.00036056,-57.97367212,42.20203977,5.225928387,-0.572982546,1
34,1579845455-tau02Hya_intra-0-1,1579845499-tau02Hya_extra-0-1,3.012850282,61.09399746,-60.35663411,-5.038108802,0.215777891,0.506219613,0.35,0.35,0,108624.0117,-148.3406735,20.27655411,40.33913375,-6.110054322,44.27668344,-63.10172441,20.14801213,-6.344376999,-21.68674517,1
35,1579845622-tau02Hya_intra-0-1,1579845667-tau02Hya_extra-0-1,1.570072838,61.1193219,-59.08472837,-5.038108802,0.215372521,0.506183505,0.35,0.35,0,109919.3484,-172.5374209,-11.19300383,-43.97063756,-20.64152021,65.08851515,-35.28909078,5.605942339,-5.027173281,21.72973057,1
36,1579845940-tau02Hya_intra-0-1,1579845984-tau02Hya_extra-0-1,-1.173752278,61.12164314,-64.96770709,-5.038108802,0.215330036,0.546924739,0.35,0.35,0,109921.6549,44.53926136,19.58118681,11.83492504,-26.58651764,22.06587913,-69.8928402,84.29350788,8.786143639,-2.508489605,1
37,1579846161-tau02Hya_intra-0-1,1579846201-tau02Hya_extra-0-1,-3.054594345,61.09312913,-63.37799501,-5.038108802,0.215746746,0.54696186,0.35,0.35,0,110704.6752,161.9515434,-13.65024656,-3.552728654,-52.15241436,32.57005646,-1.720578922,22.7718055,-19.78484481,4.519218225,1
38,1579846299-tau02Hya_intra-0-1,1579846343-tau02Hya_extra-0-1,-4.212286062,61.06159493,-62.40952334,-5.038108802,0.216255223,0.547007123,0.35,0.35,0,111787.7304,117.0459285,-17.41547791,-77.55646162,-30.67998793,63.39602762,-30.91827105,19.02810703,0.991221856,13.26477808,1
39,1579846639-tau02Hya_intra-0-1,1579846683-tau02Hya_extra-0-1,-7.171590868,60.94038616,-59.97642577,-5.038108802,0.218093953,0.547170515,0.35,0.35,0,113906.1989,442.3397513,78.27012185,-76.74398459,-46.41100258,45.43723573,-19.29145547,24.81683185,21.82160037,33.3251408,1
40,1579846780-tau02Hya_intra-0-1,1579846824-tau02Hya_extra-0-1,-8.371414382,60.88295923,-59.03330629,-5.038108802,0.218981683,0.547249239,0.35,0.35,0,114719.3265,816.0147194,101.0948002,-2.527297334,-31.22417966,27.79398769,-34.3973891,43.32644067,13.79577566,13.40349123,1
41,1579847022-tau02Hya_intra-0-1,1579847067-tau02Hya_extra-0-1,-10.40933679,60.74296661,-57.38401446,-5.038108802,0.221202184,0.35168831,0.35,0.35,0,114600.7231,-18.3200829,-33.7448561,108.9476934,16.70652026,29.42233494,-74.60955084,37.8726492,-23.07503504,-26.90452015,1
42,1579847979-etaLeo_intra-0-1,1579848020-etaLeo_extra-0-1,-0.317029984,43.18199759,-46.7177477,-5.038108802,0.699897488,0.485845105,0.35,0.35,0,83385.5237,-330.6305403,229.9070944,-71.39125968,-19.17102887,57.73084135,53.11160262,65.68774504,12.87674301,16.59387146,1
43,1579848220-etaLeo_intra-0-1,1579848261-etaLeo_extra-0-1,-1.631906119,43.16835057,-45.54543192,-5.038108802,0.70042567,0.56418922,0.35,0.35,0,83334.01032,120.195897,155.4598206,5.60047514,-74.97369499,62.3924796,-32.42574526,67.77577768,9.351635625,5.034820795,1
44,1579848438-etaLeo_intra-0-1,1579848483-etaLeo_extra-0-1,-2.825425479,43.13891189,-44.49851311,-5.038108802,0.701626095,0.535406608,0.35,0.35,0,83327.80844,-15.14373705,167.2958646,97.96051588,-79.66074378,55.9448685,-56.79035234,47.98554479,5.798978584,-1.257365707,1
45,1579849059-etaLeo_intra-0-1,1579849104-etaLeo_extra-0-1,-6.245938693,42.96504496,-41.58906451,-5.038108802,0.708685049,0.535843976,0.35,0.35,0,81062.47073,-31.19658482,40.40233454,156.7544992,-57.79405413,62.11835461,-35.58992294,32.50588411,10.85841469,6.416630201,1
46,1579849322-etaLeo_intra-0-1,1579849366-etaLeo_extra-0-1,-7.67081709,42.86054092,-40.41050267,-5.038108802,0.713032431,0.536112729,0.35,0.35,0,78967.96176,-309.6503102,109.0845365,95.23071868,-10.69049096,-23.59480952,-30.94056622,68.33609218,5.946772201,0.495513646,1
47,1579849576-etaLeo_intra-0-1,1579849620-etaLeo_extra-0-1,-9.042813597,42.72886032,-39.30716104,-5.038108802,0.718515948,0.610367022,0.35,0.35,0,78983.21188,37.04194453,86.5148137,58.80817262,-16.90337183,14.96822704,-60.40909072,46.72422542,0.71715276,-9.870094348,1
48,1579849940-etaLeo_intra-0-1,1579849971-etaLeo_extra-0-1,-10.94808008,42.49712679,-45.60715499,-5.038108802,0.729023971,0.611013369,0.35,0.35,0,82240.61929,191.7567419,99.82174522,67.54262025,-61.00046576,85.76773667,-40.36984196,94.31123454,58.15222694,-9.1671393,1
49,1579850144-etaLeo_intra-0-1,1579850175-etaLeo_extra-0-1,-12.0698114,42.34455884,-45.31090613,-5.038108802,0.735260428,0.611395742,0.35,0.35,0,82292.00027,72.31943571,153.4093004,-83.69745181,-40.37088722,131.0867483,-48.51365368,87.88374976,55.11577043,-3.961794097,1
50,1579850604-etaLeo_intra-0-1,1579850645-etaLeo_extra-0-1,-14.50418976,41.96396978,-43.50692679,-5.038108802,0.752160105,2.112427402,0.35,0.35,0,83197.72207,422.6081315,3.314088903,22.95125092,-77.27076784,45.03554313,-22.84445598,27.20163857,2.068881974,-2.637190959,1
51,1579850788-etaLeo_intra-0-1,1579850828-etaLeo_extra-0-1,-15.4413891,41.79745233,-42.83362637,-5.038108802,0.759521853,2.011778285,0.35,0.35,0,82929.11394,40.84809987,-13.746238,30.26906026,-90.5850018,73.86136753,-29.74427452,56.00735081,2.007114484,-2.684626051,1
52,1579851033-etaLeo_intra-0-1,1579851073-etaLeo_extra-0-1,-16.70512231,41.56204877,-41.93836348,-5.038108802,0.77000289,2.012413184,0.35,0.35,0,84450.42426,411.4050632,77.44467924,24.57003718,-46.01458792,71.92136231,-28.04775821,63.7356039,26.04858642,-20.14453793,1
53,1579851156-etaLeo_intra-0-1,1579851196-etaLeo_extra-0-1,-17.35634153,41.429225,-41.48881344,-5.038108802,0.775779746,2.012762103,0.35,0.35,0,84312.40861,436.0786222,66.87084892,30.32660621,-36.31698449,56.35784933,-21.6623397,46.96118266,3.409595394,-8.494448223,1
54,1579851396-etaLeo_intra-0-1,1579851436-etaLeo_extra-0-1,-18.57283034,41.16537373,-40.665924,-5.038108802,0.787734221,1.908729106,0.35,0.35,0,84156.02806,107.7102383,112.9451367,-19.92994246,-2.904684228,64.16047183,-29.33449478,71.51973419,-1.613983252,-1.593958895,1
55,1579851583-etaLeo_intra-0-1,1579851623-etaLeo_extra-0-1,-19.53298813,40.94299668,-40.03166248,-5.038108802,0.797567598,1.883895642,0.35,0.35,0,83489.31524,-104.2124148,-5.983119377,56.23455475,-40.70843122,38.48037664,-4.752194424,55.07178521,14.55011396,-19.45217699,1
56,1579851723-etaLeo_intra-0-1,1579851764-etaLeo_extra-0-1,-20.22230673,40.77547721,-39.58480575,-5.038108802,0.805446438,1.884366792,0.35,0.35,0,82993.3837,-79.40579481,62.88572773,100.2358941,-48.34577665,33.74124957,-7.847703533,66.90754277,9.294918666,-6.939847912,1
57,1579851935-etaLeo_intra-0-1,1579851975-etaLeo_extra-0-1,-21.2807561,40.50531648,-38.91269791,-5.038108802,0.817867522,1.903681136,0.35,0.35,0,82542.13178,16.34673224,55.77067173,21.22963081,-58.56052204,55.50523548,-38.35502053,48.08530224,5.505281663,-4.528692037,1
