,intra,extra,az,el,rot_pos,x,y,z,u,v,w,m1_pressure
42,1579846780-tau02Hya_intra-0-1,1579846824-tau02Hya_extra-0-1,-8.37141438176586,60.88295923289603,-59.033306294981756,-5.0381088018417355,0.21898168277608,0.5472492389633049,0.35,0.35,0.0,114719.3265299084
43,1579847022-tau02Hya_intra-0-1,1579847067-tau02Hya_extra-0-1,-10.409336792585488,60.742966605478316,-57.3840144641715,-5.0381088018417355,0.2212021836713136,0.35168831015708446,0.35,0.35,0.0,114600.72311999634
44,1579847979-etaLeo_intra-0-1,1579848020-etaLeo_extra-0-1,-0.3170299838122446,43.18199758818926,-46.717747704203504,-5.0381088018417355,0.6998974877666386,0.4858451052385244,0.35,0.35,0.0,83385.52369921876
45,1579848220-etaLeo_intra-0-1,1579848261-etaLeo_extra-0-1,-1.6319061185057055,43.16835056584176,-45.545431917672495,-5.0381088018417355,0.700425669885572,0.5641892203921257,0.35,0.35,0.0,83334.01031833225
46,1579848438-etaLeo_intra-0-1,1579848483-etaLeo_extra-0-1,-2.8254254789947786,43.13891188559824,-44.4985131095018,-5.0381088018417355,0.7016260953689915,0.535406608416135,0.35,0.35,0.0,83327.80843763442
47,1579849059-etaLeo_intra-0-1,1579849104-etaLeo_extra-0-1,-6.245938692655003,42.9650449648855,-41.58906450918451,-5.0381088018417355,0.7086850490594361,0.5358439756411668,0.35,0.35,0.0,81062.47072840216
48,1579849322-etaLeo_intra-0-1,1579849366-etaLeo_extra-0-1,-7.670817090332897,42.860540922851676,-40.410502667845826,-5.0381088018417355,0.7130324307497387,0.5361127285252782,0.35,0.35,0.0,78967.96176260052
49,1579849576-etaLeo_intra-0-1,1579849620-etaLeo_extra-0-1,-9.042813596677895,42.72886031678772,-39.307161042521365,-5.0381088018417355,0.7185159480999967,0.6103670222851412,0.35,0.35,0.0,78983.21188091206
50,1579849940-etaLeo_intra-0-1,1579849971-etaLeo_extra-0-1,-10.948080079270909,42.49712678632576,-45.607154986029975,-5.0381088018417355,0.72902397056794,0.6110133686929227,0.35,0.35,0.0,82240.61928751624
51,1579850144-etaLeo_intra-0-1,1579850175-etaLeo_extra-0-1,-12.069811403816473,42.3445588401199,-45.31090612759401,-5.0381088018417355,0.7352604282370967,0.6113957417584239,0.35,0.35,0.0,82292.00026919715
52,1579850604-etaLeo_intra-0-1,1579850645-etaLeo_extra-0-1,-14.504189760447543,41.96396978254667,-43.50692678698429,-5.0381088018417355,0.7521601053342919,2.112427401765747,0.35,0.35,0.0,83197.72206521507
53,1579850788-etaLeo_intra-0-1,1579850828-etaLeo_extra-0-1,-15.441389103203582,41.79745232597114,-42.833626365379224,-5.0381088018417355,0.7595218531691144,2.011778285306373,0.35,0.35,0.0,82929.11394030515
54,1579851033-etaLeo_intra-0-1,1579851073-etaLeo_extra-0-1,-16.705122306656705,41.56204876551197,-41.938363475552265,-5.0381088018417355,0.7700028901460705,2.0124131842086075,0.35,0.35,0.0,84450.42425785994
55,1579851156-etaLeo_intra-0-1,1579851196-etaLeo_extra-0-1,-17.356341533618735,41.42922499897759,-41.48881343797242,-5.0381088018417355,0.7757797461964542,2.012762102830477,0.35,0.35,0.0,84312.40860926312
56,1579851396-etaLeo_intra-0-1,1579851436-etaLeo_extra-0-1,-18.572830339957104,41.16537372853752,-40.665923997963695,-5.0381088018417355,0.787734221367324,1.908729105527152,0.35,0.35,0.0,84156.02805779969
57,1579851583-etaLeo_intra-0-1,1579851623-etaLeo_extra-0-1,-19.532988134287855,40.942996677196106,-40.03166247696656,-5.0381088018417355,0.7975675981055201,1.883895642075638,0.35,0.35,0.0,83489.31523826513
58,1579851723-etaLeo_intra-0-1,1579851764-etaLeo_extra-0-1,-20.22230673118806,40.77547720992519,-39.584805747993215,-5.0381088018417355,0.8054464384399949,1.8843667921426475,0.35,0.35,0.0,82993.3837036133
59,1579851935-etaLeo_intra-0-1,1579851975-etaLeo_extra-0-1,-21.280756099344345,40.505316482580234,-38.91269790570251,-5.0381088018417355,0.8178675218025027,1.9036811356286467,0.35,0.35,0.0,82542.13177697753
